,Event,Time,Location,Date
0,Welcome & Networking ,9:00-10:00 ,Foyer ,Wednesday
1,ECR Skills workshop ,10:00-12:00 ,2D1 ,Wednesday
2,Main Conference Registration + Lunch ,11:00 – 13:00 ,Foyer,Wednesday
3,Convening  ,12:45-13:00 ,LT ,Wednesday
4,Keynote: Urska Demsar,13:00-14:00 ,LT ,Wednesday
5,Break ,14:00 – 14:30 ,Foyer ,Wednesday
6,Sessions (1),14:30 – 15:30 ,"2D1 + 2D3, LT, A01 ",Wednesday
7,Break ,15:30-15:45 ,Foyer ,Wednesday
8,Sessions (2),15:45 – 16:45 ,"2D1 + 2D3, LT, A01 ",Wednesday
9,Break ,16:45 – 17:00 ,Foyer ,Wednesday
10,Closing,17:00 – 17:30 ,LT ,Wednesday
11,Peter Haggett Memorial Reception,17:30 - late, Zerodegrees Microbrewery (BS1 5BA),Wednesday
12,Welcome & Networking ,9:00 - 9:30 ,Foyer ,Thursday
13,Sessions (3),9:30 - 10:30 ,"2D1 + 2D3, LT, A01 ",Thursday
14,Break ,10:30 – 11:00 ,Foyer ,Thursday
15,Sessions (4),11:00 – 12:00 ,"2D1 + 2D3, LT, A01 ",Thursday
16,Lunch + Posters ,12:00 – 13:00 ,Foyer ,Thursday
17,Keynote: Michele Acuto ,13:00 – 14:00 ,LT ,Thursday
18,Break ,14:00 – 14:30 ,Foyer (GISRUK Mentorship Scheme in LT) ,Thursday
19,Sessions (5),14:30 – 15:30 ,"2D1 + 2D3, LT, A01 ",Thursday
20,Break ,15:30-15:45 ,Foyer ,Thursday
21,Sessions (6),15:45 – 16:45 ,"2D1 + 2D3, LT, A01 ",Thursday
22,Closing ,16:45 – 17:00  ,LT ,Thursday
23,Conference Dinner  ,19:00 - late,Browns Brasserie (BS8 1RE),Thursday
24,Sessions (7),9:00 - 10:00 ,"2D1 + 2D3, LT, A01 ",Friday
25,Break ,10:00 – 10:30 ,Foyer ,Friday
26,David Rhind Memorial Plenary,10:30 – 12:00 ,"2D1 + 2D3, LT, A01 ",Friday
27,Break ,12:00 – 12:30 ,Foyer ,Friday
28,Keynote: Stef de Sabbata,12:30 – 13:30 ,LT ,Friday
29,Awards & Close ,13:30 – 14:00 ,LT ,Friday
30,Takeaway Lunch ,14:00 , Foyer ,Friday
